职位名称,职位标签,工作地区,薪资,公司名称,公司规模,工作类型
技术副矿长,"['5-7年', '本科', '工程师', '测绘工程', '地质工程', '采矿工程', '有色金属行业', '节日福利', '带薪年假', '绩效奖金', '五险一金']",三门峡,1.2-2.4万,灵宝黄金集团股份有限公司,500-1000人,石油/化工/矿产/地质
采煤技术员,"['无需经验', '本科', '资料收集', '测绘工程', '设备', '采矿', '地质', '矿山', '五险一金', '食宿免费', '外出培训', '带薪休假', '健康体检']",文山,1.2-1.5万,云南端田矿业科技开发有限公司,50-150人,石油/化工/矿产/地质
勘探员（煤矿）,"['5-7年', '大专', '测量', '现场生产管理', '采矿', '地质', '矿业', '餐饮补贴', '交通补贴', '五险一金']",西安·莲湖区,8千-1万,深圳通用能源控股有限公司,50-150人,房地产
地质工程师,"['5-7年', '本科', '采矿', '地质', '勘探', '矿山开采', '地质勘察', '矿产地质', '探矿工程', '五险一金', '交通补贴', '免费班车', '定期体检', '双休', '集中休假', '免费住宿']",凉山,1.4-1.6万,雷波凯瑞磷化工有限责任公司,1000-5000人,石油/化工/矿产/地质
技术副矿长,"['5-7年', '本科', '工程师', '测绘工程', '地质工程', '采矿工程', '有色金属行业', '节日福利', '带薪年假', '绩效奖金', '五险一金']",三门峡,1.2-2.4万,灵宝黄金集团股份有限公司,500-1000人,石油/化工/矿产/地质
采煤技术员,"['无需经验', '本科', '资料收集', '测绘工程', '设备', '采矿', '地质', '矿山', '五险一金', '食宿免费', '外出培训', '带薪休假', '健康体检']",文山,1.2-1.5万,云南端田矿业科技开发有限公司,50-150人,石油/化工/矿产/地质
矿山开采设计    工程师,"['2年', '本科', '采矿', '安全员', '安全工程师', '地质', '矿山', '爆炸', '爆破', '采石场', '煤矿', '尾矿库', '五险一金', '补充医疗保险', '员工旅游', '专业培训', '绩效奖金', '定期体检', '带薪年假']",广州·海珠区,8千-1.5万,广东金泰达安全科技有限公司,150-500人,学术/科研
地质工程师,"['5-7年', '本科', '采矿', '地质', '勘探', '矿山开采', '地质勘察', '矿产地质', '探矿工程', '五险一金', '交通补贴', '免费班车', '定期体检', '双休', '集中休假', '免费住宿']",凉山,1.4-1.6万,雷波凯瑞磷化工有限责任公司,1000-5000人,石油/化工/矿产/地质
技术副矿长,"['5-7年', '本科', '工程师', '测绘工程', '地质工程', '采矿工程', '有色金属行业', '节日福利', '带薪年假', '绩效奖金', '五险一金']",三门峡,1.2-2.4万,灵宝黄金集团股份有限公司,500-1000人,石油/化工/矿产/地质
采煤技术员,"['无需经验', '本科', '资料收集', '测绘工程', '设备', '采矿', '地质', '矿山', '五险一金', '食宿免费', '外出培训', '带薪休假', '健康体检']",文山,1.2-1.5万,云南端田矿业科技开发有限公司,50-150人,石油/化工/矿产/地质
地质技术人员,"['1年', '中技/中专', '采矿', '物探', '选矿', '周末双休', '带薪年假', '五险一金', '免费班车', '绩效奖金', '节日福利', '专业培训', '高温补贴']",广州·白云区,6-8千·13薪,广州市越德企业管理咨询有限公司,500-1000人,建筑/建材/工程
矿山生产管理（常驻老挝）,"['10年以上', '大专', '煤矿', '采矿', '生产管理', '五险一金', '补充医疗保险', '出国机会', '年终奖金', '定期体检', '绩效奖金']",北京·海淀区,2.5-3.5万,中农国际钾盐开发有限公司,1000-5000人,石油/化工/矿产/地质
技术副矿长,"['5-7年', '本科', '工程师', '测绘工程', '地质工程', '采矿工程', '有色金属行业', '节日福利', '带薪年假', '绩效奖金', '五险一金']",三门峡,1.2-2.4万,灵宝黄金集团股份有限公司,500-1000人,石油/化工/矿产/地质
采煤技术员,"['无需经验', '本科', '资料收集', '测绘工程', '设备', '采矿', '地质', '矿山', '五险一金', '食宿免费', '外出培训', '带薪休假', '健康体检']",文山,1.2-1.5万,云南端田矿业科技开发有限公司,50-150人,石油/化工/矿产/地质
矿产前期经理,"['5-7年', '大专', '矿业', '探矿权', '采矿权', '矿厂', '煤矿', '补充医疗保险', '专业培训', '年终奖金', '绩效奖金', '定期体检', '节日福利', '股票期权', '五险']",昆明·西山区,1-1.5万,云南明德建设工程有限公司,50-150人,建筑/建材/工程
巷道通风技术员,"['3-4年', '大专', '采矿', '通风', '五险', '包吃住', '销售奖', '定期体检', '过节费', '定制员工服', '带薪休假']",克孜勒苏柯尔克孜,9千-1.2万,乌恰县阿克塔什铁矿,,石油/化工/矿产/地质
技术副矿长,"['5-7年', '本科', '工程师', '测绘工程', '地质工程', '采矿工程', '有色金属行业', '节日福利', '带薪年假', '绩效奖金', '五险一金']",三门峡,1.2-2.4万,灵宝黄金集团股份有限公司,500-1000人,石油/化工/矿产/地质
探采中心主任,"['10年以上', '本科', '采矿', '五险一金', '免费班车', '交通补贴', '通讯补贴', '年终奖金', '定期体检']",黔南,18-25万/年,贵州东峰锑业股份有限公司,150-500人,采掘业/冶炼
勘察地质工程师,"['1年', '本科', '岩土工程', '水利水电工程', '工程地质', '地质工程', '水文地质', '采矿工程', '资源勘查工程', '矿山地质', '环境地质', '开发利用方案', '五险一金', '专业培训', '餐饮补贴', '定期体检', '项目绩效', '健身俱乐部']",昆明·西山区,4-8千,昆明市土地开发整理中心,150-500人,农/林/牧/渔
选矿技术员,"['2年', '本科', '地质', 'cad', '矿物加工', '五险一金', '定期体检', '专业培训', '餐饮补贴', '年终奖金']",北海,6-7千·13薪,广西南玻石英材料有限公司,,原材料和加工
技术副矿长,"['5-7年', '本科', '工程师', '测绘工程', '地质工程', '采矿工程', '有色金属行业', '节日福利', '带薪年假', '绩效奖金', '五险一金']",三门峡,1.2-2.4万,灵宝黄金集团股份有限公司,500-1000人,石油/化工/矿产/地质
地质地理类 英文学术期刊助理编辑,"['无需经验', '硕士', '采矿', '物探', '岩土', '测绘', '石油', '选矿', '煤矿', '矿物加工', '绩效奖金', '带薪年假', '国假双休', '节日福利', '餐补交补', '定期体检', '活动经费', '图书经费', '儿童福利', '六险一金']",北京·海淀区,1.4-1.9万,曼迪匹艾（北京）科技服务有限公司,5000-10000人,文字媒体/出版
总工程师,"['8-9年', '本科', '选矿', '冶炼', '采矿', '五险一金', '年终奖金', '定期体检', '交通补贴', '生日会', '免费员工餐', '免费宿舍', '绩效奖金', '通讯补贴']",黔南,40-60万/年,贵州东峰锑业股份有限公司,150-500人,采掘业/冶炼
地质技术员,"['无需经验', '大专', '带薪年假', '五险一金', '包住宿', '绩效奖金', '节日福利', '专业培训', '餐饮补贴', '高温补贴']",北海,6-8千,信义玻璃控股有限公司,10000人以上,建筑/建材/工程
技术副矿长,"['5-7年', '本科', '工程师', '测绘工程', '地质工程', '采矿工程', '有色金属行业', '节日福利', '带薪年假', '绩效奖金', '五险一金']",三门峡,1.2-2.4万,灵宝黄金集团股份有限公司,500-1000人,石油/化工/矿产/地质
地质工程师（建水矿业）,"['3-4年', '大专', '报告编制', '地质勘查', '地质勘探', '地质', '报告', '食宿双包', '年终奖金', '购买五险', '休息灵活', '交通报销']",红河州,11-15万/年,云南同德实业集团有限公司,500-1000人,多元化业务集团公司
矿山地质工程师,"['5-7年', '大专', '施工方案', 'cad', '素描', '计算机应用', '地质', '地形', '水文', '地貌', '地质构造', '员工食堂', '住宿', '五险一金', '绩效奖金', '节日福利', '专业培训', '餐饮补贴', '年薪']",贵阳·开阳县,8千-1.2万,贵州胜威福全化工有限公司,500-1000人,石油/化工/矿产/地质
地质技术员,"['2年', '本科', '地质', '五险一金', '补充医疗保险', '补充公积金', '员工旅游', '交通补贴', '餐饮补贴', '专业培训', '高温长假', '年终奖金']",凉山,7-9千,雷波凯瑞磷化工有限责任公司,1000-5000人,石油/化工/矿产/地质
矿山地质工程师,"['10年以上', '本科', '宣传', '团队建设', '企业文化建设', '地质', '地质勘查', '地质资料', '地质填图', '勘查报告', '专业培训', '年终奖金', '定期体检', '通讯补贴', '绩效奖金']",赣州·赣县区,3-5万·14薪,赣州摩通贸易有限公司,1000-5000人,石油/化工/矿产/地质
地质工程师（石屏矿业）,"['3-4年', '大专', '报告编制', '地质勘查', '地质勘探', '地质', '报告', '食宿双包', '年终奖金', '购买五险', '休息灵活', '交通报销']",红河州,11-15万/年,云南同德实业集团有限公司,500-1000人,多元化业务集团公司
地质工程师,"['3-4年', '本科', '地质', '勘探', '探矿', '物探', '选矿', '矿山', '勘探工程师', '地质工程师', '五险一金', '员工旅游', '出国机会', '绩效奖金', '餐饮补贴', '交通补贴', '年终奖金', '定期体检']",北京·东城区,1.5-2.5万·14薪,北京正和正信投资管理有限公司,少于50人,金融/投资/证券
地质技术员,"['2年', '本科', '地质', '五险一金', '补充医疗保险', '补充公积金', '员工旅游', '交通补贴', '餐饮补贴', '专业培训', '高温长假', '年终奖金']",凉山,7-9千,雷波凯瑞磷化工有限责任公司,1000-5000人,石油/化工/矿产/地质
矿山地质工程师,"['10年以上', '本科', '宣传', '团队建设', '企业文化建设', '地质', '地质勘查', '地质资料', '地质填图', '勘查报告', '专业培训', '年终奖金', '定期体检', '通讯补贴', '绩效奖金']",赣州·赣县区,3-5万·14薪,赣州摩通贸易有限公司,1000-5000人,石油/化工/矿产/地质
矿长,"['10年以上', '大专', '五险一金', '补充医疗保险', '免费班车', '通讯补贴', '餐饮补贴', '交通补贴', '绩效奖金', '定期体检']",郴州,2.5-4万,陕西创普斯新能源科技有限公司,150-500人,新能源
矿产地质工程师（乾峰）,"['5-7年', '本科', '地质工程师', '五险一金', '全勤奖', '带薪年假', '周末双休']",昆明·五华区,5千-1万,云南金澜建设工程有限公司,150-500人,石油/化工/矿产/地质
地质勘探,"['3-4年', '本科', '物探', '选矿', '勘探', '地质', '探矿', '矿山', '地质勘探', '英语', '五险一金', '员工旅游', '出国机会', '定期体检', '年终奖金', '绩效奖金', '餐饮补贴', '交通补贴']",北京·东城区,1.4-2万·14薪,北京正和正信投资管理有限公司,少于50人,金融/投资/证券
矿山地质工程师,"['10年以上', '本科', '宣传', '团队建设', '企业文化建设', '地质', '地质勘查', '地质资料', '地质填图', '勘查报告', '专业培训', '年终奖金', '定期体检', '通讯补贴', '绩效奖金']",赣州·赣县区,3-5万·14薪,赣州摩通贸易有限公司,1000-5000人,石油/化工/矿产/地质
地质勘查技术员,"['2年', '大专', '办公软件', '归档', '报告编制', '地质工程', '成果汇报', '地质', '矿产', '储量核实', '资源勘查', '地质灾害评估', '五险一金', '餐饮补贴', '专业培训', '绩效奖金', '定期体检', '带薪年假', '双休', '法定假日', '过节慰问']",武汉·武昌区,7.2-12万/年,湖北天地源勘查设计有限公司,50-150人,石油/化工/矿产/地质
水文地质工程师,"['3-4年', '本科', '地质', '水文地质', '矿山', '煤矿', '水文地质调查', '地质工程师', '绩效奖金', '定期体检', '专业培训', '上市公司', '年终奖金', '五险', '提供食宿']",黔南,1-1.5万,深圳市芭田生态工程股份有限公司,1000-5000人,农/林/牧/渔
选矿工程师,"['3-4年', '大专', '选矿', '选矿工艺', '选矿流程', '法定节假日', '五险一金', '员工旅游', '专业培训', '年终奖金', '绩效奖金', '交通补贴', '免费旅游']",襄阳·谷城县,7千-1.4万,湖北潘达尔硅基新材料有限责任公司,,建筑/建材/工程
矿山地质工程师,"['10年以上', '本科', '宣传', '团队建设', '企业文化建设', '地质', '地质勘查', '地质资料', '地质填图', '勘查报告', '专业培训', '年终奖金', '定期体检', '通讯补贴', '绩效奖金']",赣州·赣县区,3-5万·14薪,赣州摩通贸易有限公司,1000-5000人,石油/化工/矿产/地质
矿山地质技术员,"['无需经验', '大专', '数据分析', '验收', '环保', '写作', '制图', '英语阅读', '可行性研究', '施工验收', '工程地质', '工程档案', '员工食堂', '住宿', '五险一金', '绩效奖金', '节日福利', '专业培训', '餐饮补贴', '年薪']",黔南,5-7千,贵州胜威福全化工有限公司,500-1000人,石油/化工/矿产/地质
技术员（煤矿）,"['3-4年', '大专', '安全管理', '煤矿技术员', '煤矿技术管理']",西安·莲湖区,1-1.5万,深圳通用能源控股有限公司,50-150人,房地产
煤矿定额员,"['1年', '大专', '计算机', '办公软件', 'excel', '土木工程', 'word', '劳动用工', '五险一金', '带薪年假', '专业培训', '绩效奖金']",朔州,8千-1.1万,中国秦发集团,1000-5000人,多元化业务集团公司
矿产勘查项目经理,"['5-7年', '本科', '五险一金', '餐饮补贴', '专业培训', '绩效奖金', '定期体检', '带薪年假', '双休', '法定假日', '过节慰问']",武汉·武昌区,15-30万/年,湖北天地源勘查设计有限公司,50-150人,石油/化工/矿产/地质
选矿技术员,"['无需经验', '大专', '管理', '设备维护', '指导', '技术分析', '矿物加工', '开采', '选矿设备', '选矿技术', '员工食堂', '住宿', '五险一金', '绩效奖金', '节日福利', '专业培训', '餐饮补贴', '年薪']",黔南,5-7千,贵州胜威福全化工有限公司,500-1000人,石油/化工/矿产/地质
地质工程师,"['5-7年', '大专', '岩土', '地质', '缴纳五险', '定期体检']",洛阳·栾川县,10-15万/年,河南中天矿业有限公司,50-150人,石油/化工/矿产/地质
水文地质工程师,"['2年', '本科', '员工旅游', '餐饮补贴', '绩效奖金', '弹性工作', '定期体检', '五险一金', '专业培训']",南昌·红谷滩新区,7.5千-1.5万,辽宁时越市政工程设计有限公司南昌分公司,50-150人,专业服务(咨询、人力资源、财会)
研究员(博士),"['无需经验', '博士', '有机化学', '化工', '招聘计划', '半导体材料', '人工智能', '高分子材料', '物理化学', '金属材料', '机器视觉', '机械自动化', '五险一金', '餐饮补贴', '通讯补贴', '免费体检', '补充医疗保险', '差旅费补贴']",南昌·青山湖区,30-36万/年,江西铜业股份有限公司,10000人以上,采掘业/冶炼
矿物加工工程师,"['2年', '本科', '工程管理', '加工工艺', '采矿工程', '矿业工程', '试验研究', '矿物加工工程', '评价', '绩效奖金', '全勤奖', '五险', '员工旅游', '专业培训', '弹性工作']",广州·花都区,8千-1.2万,广州市龙粤环保机械设备有限公司,150-500人,机械/设备/重工
矿业项目经理,"['无需经验', '大专', '项目管理', '项目计划', '进度安排', '矿业', '发展空间大', '专业培训', '定期体检', '提供食宿']",贵阳,1.4-2万,长沙志云建设工程有限公司,50-150人,建筑/建材/工程
